city,population,density,capital,purchasing_power_index
London,8961,5667,True,80.94
Paris,2148,20781,True,73.25
Madrid,3266,5380,True,60.77
Barcelona,1664,16000,False,54.99
Berlin,3644,4088,True,84.24
Milan,1378,7588,False,47.52
Rome,2870,2234,True,45.07
Prague,1335,2506,True,58.60
Lisbon,505,6452,True,40.49
Vienna,1897,4502,True,75.31
Amsterdam,872,4768,True,76.90
Brussels,185,5497,True,77.31
Hamburg,1841,2388,False,86.49
Munich,1471,4713,False,89.82
Lyon,506,10041,False,72.36
Stockholm,961,5139,True,78.85
Budapest,1752,3330,True,49.03
Warsaw,1790,3449,True,45.89
Dublin,1173,3689,True,67.51
Copenhagen,615,6214,True,74.92
Athens,664,7500,True,38.26
Edinburgh,488,4140,True,73.06
Zurich,428,4666,False,111.12
Oporto,237,5703,False,37.50
Geneva,200,12589,False,99.81
Krakow,779,2384,False,42.24
Oslo,673,1483,True,78.56
Helsinki,656,3071,True,73.74
Bratislava,437,1189,True,53.87
Luxembourg,626,233,True,92.14
Ljubljana,284,1736,True,51.70